software_name,cpe_uri,cpe_vendor,cpe_product,match_confidence,status,nvd_url,last_verified_date,deprecated_at,deprecated_reason,product_id,cpe_coverage_flag,data_quality_notes
Envoy Proxy,cpe:2.3:a:envoyproxy:envoy:1.13.6:*:*:*:*:*:*:*,envoyproxy,envoy,partial,partial,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=envoy%20proxy,2026-08-07,,,,,
Ericsson Quantum-Safe 5G,,,,,not_found,,,,,,,
ESCRYPT Automotive PQC Solutions,,,,,not_found,,,,,,,
essendi xc,,,,,not_found,,,,,,,
Ethereum (Geth),,,,,not_found,,,,,,,
EUDI Reference Wallet,,,,,not_found,,,,,,,
EVERTRUST HORIZON,,,,,not_found,,,,,,,
EVERTRUST STREAM,,,,,not_found,,,,,,,
Eviden IDnomic PKI,,,,,not_found,,,,,,,
Eviden PQC HSMaaS,,,,,not_found,,,,,,,
Eviden Trustway Proteccio NetHSM,,,,,not_found,,,,,,,
evolutionQ BasejumpQDN,,,,,not_found,,,,,,,
evolutionQ BasejumpSKI,,,,,not_found,,,,,,,
ExeQuantum,,,,,not_found,,,,,,,
ExpressVPN Lightway,,,,,not_found,,,,,,,
F5 ADSP PQC,,,,,not_found,,,,,,,
F5 BIG-IP,cpe:2.3:h:f5:big-ip:-:*:*:*:*:*:*:*,f5,big-ip,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=f5%20big-ip,2026-08-07,,,,,
F5 BIG-IP Post-Quantum Cryptography,,,,,not_found,,,,,,,
Falcon Reference Implementation,,,,,not_found,,,,,,,
Fastly Edge Cloud,,,,,not_found,,,,,,,
Fastly PQC CDN,,,,,not_found,,,,,,,
Fedora Linux,cpe:2.3:a:fedoraproject:fedora_extra_packages_for_enterprise_linux:7.0:*:*:*:*:*:*:*,fedoraproject,fedora_extra_packages_for_enterprise_linux,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=fedora%20linux,2026-08-07,,,,,
FENASBAC Pix PQC Research,,,,,not_found,,,,,,,
FileVault (macOS),,,,,not_found,,,,,,,
Fireblocks,,,,,not_found,,,,,,,
FIS Modern Banking,,,,,not_found,,,,,,,
Forcepoint DLP,,,,,not_found,,,,,,,
ForgeRock Access Management (AM),cpe:2.3:a:forgerock:access_management:5.0.0:*:*:*:*:*:*:*,forgerock,access_management,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=forgerock%20access%20management%20%28am%29,2026-08-07,,,,,
Fortanix Data Security Manager,,,,,not_found,,,,,,,
Fortanix PQC Central,,,,,not_found,,,,,,,
Fortinet FortiAuthenticator,cpe:2.3:a:fortinet:fortiauthenticator:3.0.0:*:*:*:*:*:*:*,fortinet,fortiauthenticator,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=fortinet%20fortiauthenticator,2026-08-07,,,,,
Fortinet FortiGate (FortiOS),,,,,not_found,,,,,,,
Fortinet FortiGate-Rugged,,,,,not_found,,,,,,,
Fortinet FortiManager,cpe:2.3:o:fortinet:fortimanager_firmware:5.0.3:*:*:*:*:*:*:*,fortinet,fortimanager_firmware,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=fortinet%20fortimanager,2026-08-07,,,,,
Fortinet FortiOS,cpe:2.3:o:fortinet:fortios:4.3.10:*:*:*:*:*:*:*,fortinet,fortios,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=fortinet%20fortios,2026-08-07,,,,,
Fortinet FortiWeb,cpe:2.3:a:fortinet:fortiweb:5.0.4:*:*:*:*:*:*:*,fortinet,fortiweb,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=fortinet%20fortiweb,2026-08-07,,,,,
FortiPQC Software Library,,,,,not_found,,,,,,,
Forward Edge-AI Isidore Quantum,,,,,not_found,,,,,,,
Forward Edge-AI Space Router,,,,,not_found,,,,,,,
FreeBSD,cpe:2.3:o:freebsd:freebsd:-:*:*:*:*:*:*:*,freebsd,freebsd,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=freebsd%20freebsd,2026-08-07,,,,,
FreeRTOS,,,,,not_found,,,,,,,
Fujitsu PQC Networks,,,,,not_found,,,,,,,
FusionAuth,cpe:2.3:a:fusionauth:fusionauth:1.0.13:*:*:*:*:*:*:*,fusionauth,fusionauth,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=fusionauth%20fusionauth,2026-08-07,,,,,
Futurex Cloud,,,,,not_found,,,,,,,
Futurex CryptoHub,,,,,not_found,,,,,,,
Futurex GSP4000 Hardware Security Module,,,,,not_found,,,,,,,
