software_name,purl,purl_type,purl_namespace,purl_name,match_confidence,status,registry_url,last_verified_date
MySQL Enterprise Encryption,,,,,,not_found,,2026-04-01
NCSC UK PQC Migration Timelines,,,,,,not_found,,2026-04-01
NEC 5G Core,,,,,,not_found,,2026-04-01
NEDO PQShield Japan PQC Program,,,,,,not_found,,2026-04-01
NetApp ONTAP 9.16,,,,,,not_found,,2026-04-01
NetSfere PQC Messaging,,,,,,not_found,,2026-04-01
Netskope Intelligent DLP,,,,,,not_found,,2026-04-01
Netskope One PQC,,,,,,not_found,,2026-04-01
Nexus Group Certificate Manager,,,,,,not_found,,2026-04-01
Nginx,pkg:github/nginx/nginx,github,nginx,nginx,exact,matched,https://github.com/nginx/nginx,2026-04-01
NGINX Plus,,,,,,not_found,,2026-04-01
NGINX Plus R33 PQC,,,,,,not_found,,2026-04-01
Nimbus JOSE+JWT,,,,,,not_found,,2026-04-01
NIST SP 800-227 PQC Guidance,,,,,,not_found,,2026-04-01
NixOS,pkg:github/NixOS/nixpkgs,github,NixOS,nixpkgs,exact,matched,https://github.com/NixOS/nixpkgs,2026-04-01
noble-post-quantum,pkg:github/paulmillr/noble-post-quantum,github,paulmillr,noble-post-quantum,exact,matched,https://github.com/paulmillr/noble-post-quantum,2026-04-01
Node.js,pkg:github/nodejs/node,github,nodejs,node,exact,matched,https://github.com/nodejs/node,2026-04-01
Nokia Quantum-Safe Networks,,,,,,not_found,,2026-04-01
Nokia Quantum-Safe Railways,,,,,,not_found,,2026-04-01
NordVPN,,,,,,not_found,,2026-04-01
Notary Project,pkg:github/notaryproject/notation,github,notaryproject,notation,exact,matched,https://github.com/notaryproject/notation,2026-04-01
Nozomi Networks Guardian,,,,,,not_found,,2026-04-01
NSS (Mozilla),,,,,,not_found,,2026-04-01
NTT PQC Secure Transport,,,,,,not_found,,2026-04-01
Nutanix AHV,,,,,,not_found,,2026-04-01
Nvidia cuPQC,,,,,,not_found,,2026-04-01
NVIDIA cuPQC SDK,,,,,,not_found,,2026-04-01
NXP EdgeLock SE051H,,,,,,not_found,,2026-04-01
